Game,Score,Year,Platform,Developer,Genre(s),Notes
Mario Kart World,3+,2025,Switch2,Nintendo,Racing,-
Sonic X Shadow Generations,2+,2025,Switch2,Sega,Action | Platformer,-
Visions of Mana,2+,2025,PS5,Ouka Studios,Action | RPG,-
Dragon Quest XI: Echoes of an Elusive Age,2+,2025,PS4,Square Enix,Turn-based | RPG,-
Subway Surfers,3,2025,Mobile,SYBO,Action | Endless runner,-
Scarf,2,2025,PC,Uprising Studios,Adventure | Puzzle,-
Ordia,2,2025,Mobile,Loju,Action | Puzzle,-
I Expect You to Die,3+,2025,MQ2,Schell Games,Puzzle,-
Contorted,2,2025,PC,Lenni Kauppi,Horror,-
Scarlet Nexus,3+,2025,PS5,Bandai Namco,Action | RPG,-
Trails through Daybreak,4+,2024,PS5,Nihon Falcom,Turn-based | RPG,-
Ys VIII: Lacrimosa of Dana,3+,2024,PS4,Nihon Falcom,Action | RPG,-
Castlevania: Symphony of the Night,3,2024,PS4,Konami,Action | RPG | Platformer,-
Granblue Fantasy: Relink,4,2024,PS5,Cygames,Action | RPG,-
Dragon Quest III: The Seeds of Salvation,2+,2024,Switch,Square Enix,Turn-based | RPG,"constantly having to look up where to go is a major design flaw"
Dragon Quest,2,2024,Switch,Square Enix,Turn-based | RPG,-
Super Castlevania IV,1+,2024,PS4,Konami,Action | Platformer,-
Sushi Ben,2+,2024,MQ2,Big Braine Studios,Visual novel | Adventure,"lots of potential, but felt like early access"
The Legend of Zelda: A Link to the Past,2+,2024,Switch,Nintendo,Adventure,-
Final Fantasy V,3,2024,Switch,Square Enix,Turn-based | RPG,-
Final Fantasy VIII,3,2024,PS4,Square Enix,Turn-based | RPG,"atrocious leveling system"
Final Fantasy II,2,2024,Switch,Square Enix,Turn-based | RPG,"atrocious leveling system"
Final Fantasy,2,2024,Switch,Square Enix,Turn-based | RPG,-
Final Fantasy XIV: Dawntrail,4,2024,PS5,Square Enix,MMO | RPG,-
The Great Ace Attorney,-,2024,Switch,Capcom,Visual novel | Puzzle,"watched"
Danganronpa V3: Killing Harmony,4,2024,PC,Spike Chunsoft,Visual novel | Puzzle,-
Life is Strange 2,3+,2024,PS4,Dontnod Entertainment,Adventure,-
Trails into Reverie,4,2024,PS5,Nihon Falcom,Turn-based | RPG,-
Control,4,2024,PS5,Remedy Entertainment,Action | Adventure,-
13 Sentinels: Aegis Rim,4+,2024,PS4,Vanillaware,Adventure | Strategy,"the final boss of all narrative fiction"
The Sims 4,3,2024,PC,Electronic Arts,Simulation,-
Flower,2,2024,PS4,Thatgamecompany,Adventure,-
Slay the Princess,-,2024,PC,Black Tabby Games,Visual novel,"watched"
Ni no Kuni II: Revenant Kingdom,3,2024,PS4,Level-5,Action | RPG,-
Dragon Quest VIII: Journey of the Cursed King,3,2024,3DS,Square Enix,Turn-based | RPG,-
The Legend of Zelda: Majora's Mask,-,2023,3DS,Nintendo,Adventure,"watched"
Bravely Default II,4,2023,Switch,Square Enix,Turn-based | RPG,"best turn-based battle system"
Kirby and the Forgotten Land,4,2023,Switch,HAL Laboratory,Action | Platformer,-
Oceanhorn 2: Knights of the Lost Realm,2,2023,Switch,Cornfox & Brothers,Adventure,-
Hogwarts Legacy,4,2023,PS5,Avalanche Software,Action | RPG,"would've liked a morality system"
Final Fantasy XVI,4,2023,PS5,Square Enix,Action | RPG,-
Stray,3,2023,PS5,BlueTwelve Studio,Adventure,-
The Legend of Zelda: Tears of the Kingdom,4+,2023,Switch,Nintendo,Adventure,-
Haven,3,2023,PS5,The Game Bakers,Turn-based | Adventure,-
Kena: Bridge of Spirits,2+,2023,PS5,Ember Lab,Action | Adventure,-
Astro's Playroom,4,2023,PS5,Team Asobi,Action | Platformer,-
Trails of Cold Steel IV,4,2023,PS4,Nihon Falcom,Turn-based | RPG,-
Trails of Cold Steel III,5,2023,PS4,Nihon Falcom,Turn-based | RPG,-
The Legend of Zelda: Skyward Sword,4,2022,Switch,Nintendo,Adventure,-
Trails to Azure,4+,2022,PC,Nihon Falcom,Turn-based | RPG,-
It Takes Two,-,2022,PS5,Hazelight Studios,Adventure | Puzzle | Platformer,"watched"
Final Fantasy XIV: Endwalker,5,2021,PS5,Square Enix,MMO | RPG,-
Bravely Default,4+,2021,3DS,Square Enix,Turn-based | RPG,"the 'bad' ending should be the true ending"
Fire Emblem: Three Houses,2+,2021,Switch,Intelligent Systems,Strategy | RPG,"only one route"
Pokemon Unite,3,2021,Switch,TiMi Studio Group,MOBA,-
Fall Guys,3,2021,PC,Mediatonic,Platformer,-
Pokemon Alpha Sapphire,4,2020,3DS,Game Freak,Turn-based | RPG,-
Ghost of Tsushima,5,2020,PS5,Sucker Punch Productions,Action | Adventure,"best realistic graphics"
Danganronpa 2: Goodbye Despair,4,2020,PC,Spike Chunsoft,Visual novel | Puzzle,-
Danganronpa: Trigger Happy Havoc,4+,2020,PC,Spike Chunsoft,Visual novel | Puzzle,-
51 Worldwide Games,3,2020,Switch,NDCube,Puzzle,-
Super Smash Bros. Ultimate,3,2020,Switch,Nintendo,Fighting,-
Persona Q: Shadow of the Labyrinth,3,2020,3DS,Atlus,Turn-based | Dungeon crawler | RPG,-
Trails from Zero,4,2020,PC,Nihon Falcom,Turn-based | RPG,-
Mario Kart 8 Deluxe,3,2020,Switch,Nintendo,Racing,-
Stardew Valley,4,2020,Switch,ConcernedApe,Simulation | RPG,-
Dr Kawashima's Brain Training,1,2020,Switch,Nintendo,Puzzle,-
Assassins Creed: Unity,2,2020,PS4,Ubisoft,Action | Stealth,-
Undertale,5,2020,Switch,Toby Fox,RPG,"by far the best value for money"
The Legend of Zelda: Ocarina of Time,3,2019,3DS,Nintendo,Adventure,-
Advance Wars: Dual Strike,3,2019,DS,Intelligent Systems,Strategy,-
Catherine: Full Body,-,2019,PS4,Atlus,Puzzle | Platformer,"watched"
Trails in the Sky the 3rd,3+,2019,PC,Nihon Falcom,Turn-based | RPG,-
Trails in the Sky SC,5,2019,PC,Nihon Falcom,Turn-based | RPG,-
Trails in the Sky FC,4+,2019,PC,Nihon Falcom,Turn-based | RPG,-
Trails of Cold Steel II,5,2019,PS4,Nihon Falcom,Turn-based | RPG,-
Final Fantasy XIV: Shadowbringers,5,2019,PS4,Square Enix,MMO | RPG,-
The Legend of Zelda: Breath of the Wild,5,2019,Switch,Nintendo,Adventure,-
Tokyo Xanadu eX+,3+,2019,PS4,Nihon Falcom,Action | RPG,-
Kingdom Hearts III,4,2019,PS4,Square Enix,Action | RPG,"best action battle system"
Persona 4 Golden,5,2018,Vita,Atlus,Turn-based | RPG,-
Final Fantasy III,2+,2018,PC,Square Enix,Turn-based | RPG,-
Trails of Cold Steel,5,2018,PS4,Nihon Falcom,Turn-based | RPG,-
Granblue Fantasy,-,2018,Mobile,Cygames,Turn-based | Visual novel | RPG,"impossible to score"
Persona 3 FES,4,2018,PS3,Atlus,Turn-based | RPG,-
Phoenix Wright: Ace Attorney - Spirit of Justice,4,2018,Mobile,Capcom,Visual novel | Puzzle,-
Grim Fandango,3,2018,PS4,LucasArts,Adventure | Puzzle,-
Shadow of the Colossus,3+,2018,PS4,Team Ico,Adventure | Puzzle,-
Rime,2+,2018,PS4,Tequila Works,Adventure | Puzzle,-
Okami,5,2018,PS4,Clover Studio,Adventure,-
Oceanhorn: Monster of Uncharted Seas,2,2018,PS4,Cornfox & Bros,Adventure,-
Detroit: Become Human,-,2018,PS4,Quantic Dream,Adventure,"watched"
Drakengard 3,4,2018,PS3,Access Games,Action,-
Final Fantasy IX,5,2018,PS4,Square Enix,Turn-based | RPG,-
Final Fantasy XII,2,2017,PS4,Square Enix,Turn-based | RPG,"not a Final Fantasy game"
Persona 5,5,2017,PS4,Atlus,Turn-based | RPG,-
NieR,4,2017,PS3,Cavia,Action | RPG,-
World of Final Fantasy,2+,2017,PS4,Square Enix,Turn-based | RPG,-
Octodad: Dadliest Catch,2,2017,PS4,Young Horses,Adventure | Puzzle,-
Resogun,3,2017,PS4,Housemarque,Shooter,-
Final Fantasy Type-0,3,2017,PS4,Square Enix,Action | RPG,-
NieR: Automata,5,2017,PS4,Platinum Games,Action | RPG,-
Final Fantasy XIV: Stormblood,4,2017,PS4,Square Enix,MMO | RPG,-
South Park: The Fractured But Whole,-,2017,PC,Ubisoft,Turn-based | RPG,"watched"
